dataset,parameter,marginal_contribution_accuracy,marginal_contribution_runtime
dvc,batch_size,0.005023636156896265,0.005058173250256124
dvc,epochs,0.013893880088889747,0.8273772476090053
dvc,h_flip,9.910503580984665e-06,0.0003780247678996599
dvc,learning_rate_init,0.012703203655495198,0.003921749046574994
dvc,lr_decay,7.133343196731014e-05,0.0008788096514104294
dvc,momentum,0.00875791321393792,0.004877243186803665
dvc,patience,0.024628708687255058,0.0016454272109185666
dvc,resize_crop,0.001483416252171499,0.00010053265632959296
dvc,shuffle,0.7820504835671724,0.001200448549941528
dvc,tolerance,4.306546329858324e-05,0.014065658390732746
dvc,v_flip,8.924786441352323e-05,0.0001624585973146907
dvc,weight_decay,0.002950125142282486,0.006513795214181736
cifar100,batch_size,0.003170320528454795,0.06774804182223203
cifar100,epochs,0.005889270240309368,0.8927013652467284
cifar100,h_flip,0.00010976482695223134,1.0222452771082732e-07
cifar100,learning_rate_init,0.11755441197228275,7.278092150939343e-05
cifar100,lr_decay,0.00048985179819026,5.675290590750329e-05
cifar100,momentum,0.0988965949559488,8.519442331153601e-05
cifar100,patience,0.00694978792757165,0.0016405495398827876
cifar100,resize_crop,0.0024948666926095826,7.0105639856923854e-06
cifar100,shuffle,5.229668425833302e-05,0.00011404953029090024
cifar100,tolerance,0.023216722334269926,0.00044487699609771833
cifar100,v_flip,4.175688812106462e-05,3.912064202123323e-05
cifar100,weight_decay,0.5031575328245871,6.307645094610625e-05
fruits,batch_size,0.003413719717896094,0.0007300250664440974
fruits,epochs,0.0028344659384016103,0.8754617339556658
fruits,h_flip,0.0002712286829805396,0.0035919991295506786
fruits,learning_rate_init,0.004646238935568984,0.0006256798206873619
fruits,lr_decay,0.008032288433679296,0.0027273618314222745
fruits,momentum,0.002870291755982049,0.0034168953694926237
fruits,patience,0.026951064517083817,0.0005970171042245229
fruits,resize_crop,0.00042686517078082905,0.0006108152805207002
fruits,shuffle,0.8532492828193672,0.00796201851185616
fruits,tolerance,0.0008619854823755998,0.007989173508232382
fruits,v_flip,1.5267520198023232e-05,0.00013876590386236712
