200 50.0 -0.09283917846679687 132.73742413520813 0 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.07457725524902344 289.1874666213989 1 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.06510918502807617 479.3226993083954 2 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.04499534454345703 600.3374843597412 3 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05126923904418945 728.3824889659882 4 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05289281997680664 841.9724812507629 5 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05396330413818359 1004.8226623535156 6 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.05259677200317383 1140.8778240680695 7 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.050823060607910156 1249.7827479839325 8 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.050135302734375 1384.6872498989105 9 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 50.0 -0.049321341705322264 1558.2624771595001 10 {'batch_size': 32, 'epochs': 50, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
