200 78.52 -4.029591796875 42.34318661689758 0 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 82.73 -4.962821044921875 84.63889765739441 1 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 85.9 -5.458069580078125 126.95984554290771 2 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 84.25 -5.68994326171875 169.2418565750122 3 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 84.42 -5.897854638671875 211.5180389881134 4 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 85.11 -6.0385111328125 253.8336901664734 5 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.08 -6.5738107421875 296.1118803024292 6 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.23 -6.574671630859375 338.4122133255005 7 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.31 -6.58602236328125 380.7206733226776 8 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.37 -6.604082568359375 423.01069140434265 9 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
200 90.36 -6.596613134765625 465.28852939605713 10 {'batch_size': 128, 'epochs': 25, 'h_flip': True, 'learning_rate_init': 0.0009377794723420348, 'lr_decay': 24, 'momentum': 0.76414068655387, 'patience': 2, 'resize_crop': False, 'shuffle': False, 'tolerance': 0.005359011104969413, 'v_flip': True, 'weight_decay': 0.00040628515861247406}
