dataset,parameter,marginal_contribution_accuracy,marginal_contribution_runtime
dvc,batch size,0.04156716532299237,0.007878795884181007
dvc,epochs,0.378732458169291,0.919570881219721
dvc,learning rate init,0.011176567843989436,0.002820433571430534
dvc,momentum,0.015347759894223725,0.0020324093668033726
dvc,weight decay,0.1340955758589752,0.0016391565288704554
cifar100,batch size,0.009941644333274463,0.06278219622725958
cifar100,epochs,0.5151492172370835,0.8767465356512288
cifar100,learning rate init,0.012090941733071181,0.0017796881072583612
cifar100,momentum,0.011543360974886918,0.00041631749946005516
cifar100,weight decay,0.23074316164667497,0.002881754873217705
fruits,batch size,0.011248046471027002,0.0022625759410296585
fruits,epochs,0.19337770232203733,0.8704244610112543
fruits,learning rate init,0.022945400088946553,0.008375890179727823
fruits,momentum,0.024777235964447118,0.016535041343847645
fruits,weight decay,0.08908411960544671,0.0008268062659628019
flowers,batch size,0.013436300904417163,0.020629182245289555
flowers,epochs,0.7065445806266218,0.9054717575014133
flowers,learning rate init,0.018042654180559923,0.0015838048024737156
flowers,momentum,0.027502848770531337,0.0014706325921381585
flowers,weight decay,0.0044661588039738446,0.013206832400272933
svhn,batch size,0.03768238538891919,0.057498690684492426
svhn,epochs,0.1687355638996428,0.8956707892121769
svhn,learning rate init,0.019149329075402524,0.001121233279553799
svhn,momentum,0.08714173973265582,0.00038425834215740273
svhn,weight decay,0.25936866248587886,0.0012996528067685735
mnist,batch size,0.042110597833649406,0.07710102304320837
mnist,epochs,0.16341216049603563,0.8745399952854913
mnist,learning rate init,0.10797679738919685,0.0024107592185998623
mnist,momentum,0.009269979987673897,0.001302589742626465
mnist,weight decay,0.007067061016519606,0.0003690543394314379
cifar10,batch size,0.007821757426014628,0.0741600406433322
cifar10,epochs,0.5555411788490255,0.8830359928426165
cifar10,learning rate init,0.004937256705903288,0.00010573917252511825
cifar10,momentum,0.007735022640362201,0.00018642102257791817
cifar10,weight decay,0.11401048782904155,0.0014296333430178325
scmnist,batch size,0.044700129392406626,0.041990332536551996
scmnist,epochs,0.4866020451695204,0.8996993639203814
scmnist,learning rate init,0.04837850498241297,0.002345768793992424
scmnist,momentum,0.024618781286228346,0.0004174669032780199
scmnist,weight decay,0.02332076674181316,0.005415598856306949
stl10,batch size,0.03559689117500925,0.015883428752670688
stl10,epochs,0.3212480216956156,0.9346763505749013
stl10,learning rate init,0.02434280689959034,0.0016911927937366279
stl10,momentum,0.010675154152171167,0.0038633992995833286
stl10,weight decay,0.34722407881893275,0.002712472483396035
fmnist,batch size,0.14134632581993697,0.07301530684890771
fmnist,epochs,0.1629068498692085,0.8510093920999856
fmnist,learning rate init,0.023710519464495552,0.003505413079975499
fmnist,momentum,0.03396078037077015,0.0018449753851448834
fmnist,weight decay,0.12949857403640677,0.00041655803465841126
