0 43.11 -2.645795849609375 30.183260679244995 0 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 56.8 -3.8292731689453126 60.40160012245178 1 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 63.07 -4.2666853515625 90.60246443748474 2 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 65.97 -4.6265173828125 120.80377531051636 3 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 53.28 -4.00362158203125 150.99887466430664 4 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 63.51 -4.020816333007812 181.19742560386658 5 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 67.63 -4.25371201171875 211.41234469413757 6 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 76.06 -4.762558935546875 241.60295057296753 7 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 75.9 -4.495394189453125 271.81204319000244 8 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 74.72 -4.901115234375 302.0169062614441 9 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 73.77 -4.772216845703125 332.24949049949646 10 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 68.03 -4.8798412109375 362.4452464580536 11 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 78.87 -5.330925634765625 392.63653206825256 12 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 74.8 -5.990051318359375 422.822448015213 13 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 77.77 -5.236460986328125 453.0021822452545 14 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 75.0 -5.523279296875 483.2384579181671 15 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 73.96 -5.4537791015625 513.4500679969788 16 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 81.6 -6.076863134765625 543.6629364490509 17 {'batch_size': 512, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
