0 18.225 -0.9366127891540528 34.50470995903015 0 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 15.6625 -1.592016067504883 66.23004913330078 1 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 24.2625 -1.3624918975830078 98.27168035507202 2 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 23.6875 -1.575366683959961 130.3311631679535 3 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 31.775 -2.0544172286987306 162.38905787467957 4 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 15.4625 -1.3174584884643554 194.44569754600525 5 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 29.1375 -1.476490852355957 226.4994034767151 6 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 24.2625 -1.4071739273071289 258.22874999046326 7 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 31.1 -2.1256420974731447 289.941694021225 8 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 23.875 -1.481395133972168 321.6600921154022 9 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 36.5875 -2.572374755859375 353.7230489253998 10 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 38.3125 -2.7055843963623047 385.4512550830841 11 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 41.0375 -2.468373046875 417.18069434165955 12 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 37.65 -2.3762476959228516 448.88485884666443 13 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 35.1 -2.04753125 480.94959473609924 14 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 38.2625 -2.728435363769531 512.6981890201569 15 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 37.2875 -2.6203408203125 544.7794663906097 16 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 31.0125 -2.017538185119629 576.8341300487518 17 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 46.825 -3.2032727813720703 608.9129605293274 18 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 44.7625 -3.2910655822753907 640.9780993461609 19 {'batch_size': 128, 'epochs': 119, 'learning_rate_init': 0.11630395714480306, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
