dataset,parameter,marginal_contribution_accuracy,marginal_contribution_runtime
dvc,batch size,0.032257675364412625,0.006336586314339877
dvc,epochs,0.35213892273467806,0.8297863336079732
dvc,learning rate init,0.012534171545961613,0.004529889847979331
dvc,momentum,0.02426647417521963,0.005077035679197013
dvc,weight decay,0.1809914240368907,0.005062020556475654
cifar100,batch size,0.024729748996954716,0.10492981605820417
cifar100,epochs,0.20715021063442202,0.7224812026950511
cifar100,learning rate init,0.029836645222695003,0.002353747985196022
cifar100,momentum,0.008775575423435062,0.0012451422362919193
cifar100,weight decay,0.40382902547113625,0.004947055388165959
fruits,batch size,0.01278338637990166,0.004276140560591773
fruits,epochs,0.30825602040213695,0.6890159359941272
fruits,learning rate init,0.011316514518153119,0.018093317887441156
fruits,momentum,0.036697138258821,0.027475504152223097
fruits,weight decay,0.09372713053262827,0.0027460748545797393
flowers,batch size,0.10039321130097208,0.026196110912113393
flowers,epochs,0.36206701089221566,0.8490831315006967
flowers,learning rate init,0.05272763364090699,0.0017818433199120922
flowers,momentum,0.0429491284120776,0.003648691600575362
flowers,weight decay,0.021717088105823144,0.007403115920979442
svhn,batch size,0.07538883948441939,0.09739295217859853
svhn,epochs,0.2604667492784325,0.755410657730424
svhn,learning rate init,0.03124601896410656,0.001226773948106553
svhn,momentum,0.027139524190689462,0.000765084641747057
svhn,weight decay,0.20534295754450566,0.003159049635680776
mnist,batch size,0.08400068370144026,0.13348740207393167
mnist,epochs,0.40042500078103466,0.7079136799901371
mnist,learning rate init,0.011796897480567602,0.0007863812190547518
mnist,momentum,0.03678065860605327,0.0020228834862676633
mnist,weight decay,0.023165501114105813,0.0009382595698584616
cifar10,batch size,0.013518993071392893,0.13315256952024243
cifar10,epochs,0.2879875174070655,0.7024423291789393
cifar10,learning rate init,0.009534210307883952,0.0002574636034764298
cifar10,momentum,0.023828381039401488,0.00042450729895600196
cifar10,weight decay,0.3545878305462391,0.0038204053104665694
scmnist,batch size,0.07542827093081048,0.07144407655885032
scmnist,epochs,0.21815633692349315,0.807242786718062
scmnist,learning rate init,0.09494663187671787,0.0022884710559486175
scmnist,momentum,0.08156574051438387,0.0007435274800125095
scmnist,weight decay,0.029366014096902347,0.0023797937193238954
stl10,batch size,0.06466562256641703,0.028450726750295842
stl10,epochs,0.22458002263430343,0.8528098728134346
stl10,learning rate init,0.12289391038237608,0.005561466277251407
stl10,momentum,0.03037315422200288,0.007424068125930331
stl10,weight decay,0.09715028942003537,0.0014557516228390066
fmnist,batch size,0.07877465293029876,0.1188154770496258
fmnist,epochs,0.3640962325241261,0.696060333458033
fmnist,learning rate init,0.0105941387240072,0.0033686676103979276
fmnist,momentum,0.041975485551031894,0.002138199478988045
fmnist,weight decay,0.05913350747419434,0.0003724173334658007
