0 92.89 -8.934718359375 2278.4629778862 {'batch_size': 32, 'epochs': 43, 'learning_rate': 0.019486241836466356, 'momentum': 0.8472517387841254, 'shuffle': False, 'weight_decay': 0.0003833332156156665}
1 93.77 -19.10985703125 2649.5975770950317 {'batch_size': 32, 'epochs': 50, 'learning_rate': 0.04600306804490305, 'momentum': 0.12812444792935673, 'shuffle': False, 'weight_decay': 3.863879405158735e-06}
2 90.65 -10.52586728515625 343.32573652267456 {'batch_size': 256, 'epochs': 10, 'learning_rate': 0.04546784063337935, 'momentum': 0.947730611527878, 'shuffle': False, 'weight_decay': 4.80254240621744e-05}
3 63.13 -1.76522158203125 1236.019582271576 {'batch_size': 256, 'epochs': 36, 'learning_rate': 2.8478931734312084e-05, 'momentum': 0.510827605197663, 'shuffle': False, 'weight_decay': 5.600770399424077e-05}
4 92.46 -10.1245361328125 351.23527359962463 {'batch_size': 128, 'epochs': 9, 'learning_rate': 0.01897163417513985, 'momentum': 0.6090356014499725, 'shuffle': False, 'weight_decay': 7.3174199873801e-06}
5 89.6 -8.94518486328125 323.98343777656555 {'batch_size': 8, 'epochs': 3, 'learning_rate': 0.01434297276884395, 'momentum': 0.36373689710058943, 'shuffle': False, 'weight_decay': 8.987621100554036e-05}
6 73.01 -5.43664482421875 552.213397026062 {'batch_size': 512, 'epochs': 17, 'learning_rate': 0.01276866859771295, 'momentum': 0.0416966257252499, 'shuffle': True, 'weight_decay': 0.008711947727145682}
7 92.79 -8.88209462890625 3277.171919822693 {'batch_size': 16, 'epochs': 39, 'learning_rate': 0.0001556131009806792, 'momentum': 0.7234651778309412, 'shuffle': True, 'weight_decay': 1.706282987843017e-05}
8 41.8 -0.4707496429443359 107.95246362686157 {'batch_size': 8, 'epochs': 1, 'learning_rate': 1.5747001884026847e-05, 'momentum': 0.37751697399359707, 'shuffle': False, 'weight_decay': 8.529298465080303e-06}
9 47.8 -0.9414186645507813 1324.8463566303253 {'batch_size': 32, 'epochs': 25, 'learning_rate': 4.668180550042526e-06, 'momentum': 0.14211108545453854, 'shuffle': True, 'weight_decay': 0.0032276380737531847}
10 72.18 -3.0598378173828125 487.4372889995575 {'batch_size': 512, 'epochs': 15, 'learning_rate': 0.00029713215151701495, 'momentum': 0.4430149476886084, 'shuffle': True, 'weight_decay': 9.86343187233007e-05}
11 74.09 -3.46494697265625 130.06803369522095 {'batch_size': 512, 'epochs': 4, 'learning_rate': 0.0021066945709495954, 'momentum': 0.19411562178234698, 'shuffle': True, 'weight_decay': 4.795284939136654e-05}
12 61.16 -1.4829824829101563 1800.1685574054718 {'batch_size': 64, 'epochs': 44, 'learning_rate': 2.70502569265528e-06, 'momentum': 0.7236018032921475, 'shuffle': True, 'weight_decay': 0.004731382207870573}
