0 99.27 -9.92112919921875 2316.891398191452 {'batch_size': 32, 'epochs': 43, 'learning_rate': 0.019486241836466356, 'momentum': 0.8472517387841254, 'shuffle': False, 'weight_decay': 0.0003833332156156665}
1 99.63 -19.6980833984375 2695.433788061142 {'batch_size': 32, 'epochs': 50, 'learning_rate': 0.04600306804490305, 'momentum': 0.12812444792935673, 'shuffle': False, 'weight_decay': 3.863879405158735e-06}
2 99.23 -15.86793837890625 344.5762755870819 {'batch_size': 256, 'epochs': 10, 'learning_rate': 0.04546784063337935, 'momentum': 0.947730611527878, 'shuffle': False, 'weight_decay': 4.80254240621744e-05}
3 54.9 -1.0266776611328126 1240.5245192050934 {'batch_size': 256, 'epochs': 36, 'learning_rate': 2.8478931734312084e-05, 'momentum': 0.510827605197663, 'shuffle': False, 'weight_decay': 5.600770399424077e-05}
4 99.33 -12.13899921875 353.1388518810272 {'batch_size': 128, 'epochs': 9, 'learning_rate': 0.01897163417513985, 'momentum': 0.6090356014499725, 'shuffle': False, 'weight_decay': 7.3174199873801e-06}
5 99.2 -11.69266025390625 340.4738144874573 {'batch_size': 8, 'epochs': 3, 'learning_rate': 0.01434297276884395, 'momentum': 0.36373689710058943, 'shuffle': False, 'weight_decay': 8.987621100554036e-05}
6 95.7 -7.344863720703125 553.8996903896332 {'batch_size': 512, 'epochs': 17, 'learning_rate': 0.01276866859771295, 'momentum': 0.0416966257252499, 'shuffle': True, 'weight_decay': 0.008711947727145682}
7 99.48 -10.289734765625 3369.637350320816 {'batch_size': 16, 'epochs': 39, 'learning_rate': 0.0001556131009806792, 'momentum': 0.7234651778309412, 'shuffle': True, 'weight_decay': 1.706282987843017e-05}
8 27.42 -0.3541917938232422 112.37446999549866 {'batch_size': 8, 'epochs': 1, 'learning_rate': 1.5747001884026847e-05, 'momentum': 0.37751697399359707, 'shuffle': False, 'weight_decay': 8.529298465080303e-06}
9 30.42 -0.5588649597167968 1344.5518519878387 {'batch_size': 32, 'epochs': 25, 'learning_rate': 4.668180550042526e-06, 'momentum': 0.14211108545453854, 'shuffle': True, 'weight_decay': 0.0032276380737531847}
10 83.48 -2.592003662109375 488.8244061470032 {'batch_size': 512, 'epochs': 15, 'learning_rate': 0.00029713215151701495, 'momentum': 0.4430149476886084, 'shuffle': True, 'weight_decay': 9.86343187233007e-05}
11 86.65 -3.956998388671875 130.41283988952637 {'batch_size': 512, 'epochs': 4, 'learning_rate': 0.0021066945709495954, 'momentum': 0.19411562178234698, 'shuffle': True, 'weight_decay': 4.795284939136654e-05}
12 50.75 -0.895485693359375 1815.3200554847717 {'batch_size': 64, 'epochs': 44, 'learning_rate': 2.70502569265528e-06, 'momentum': 0.7236018032921475, 'shuffle': True, 'weight_decay': 0.004731382207870573}
13 9.58 -0.002325017088651657 6412.244527339935 {'batch_size': 4, 'epochs': 31, 'learning_rate': 0.01982303161905548, 'momentum': 0.8929826912712245, 'shuffle': False, 'weight_decay': 0.007769703672346073}
14 99.48 -12.22658837890625 1343.8531980514526 {'batch_size': 256, 'epochs': 39, 'learning_rate': 0.02249771592052683, 'momentum': 0.00804694852981791, 'shuffle': True, 'weight_decay': 6.384737216385929e-06}
15 99.06 -8.15687646484375 1412.7629308700562 {'batch_size': 256, 'epochs': 41, 'learning_rate': 0.0009052634411714516, 'momentum': 0.11098632485820681, 'shuffle': False, 'weight_decay': 1.2635828256237819e-05}
16 9.23 0.09830703048706055 554.631591796875 {'batch_size': 512, 'epochs': 17, 'learning_rate': 1.8986086032744138e-06, 'momentum': 0.3086167800843861, 'shuffle': False, 'weight_decay': 2.772779543927265e-05}
17 98.24 -8.06828017578125 10487.865960597992 {'batch_size': 2, 'epochs': 27, 'learning_rate': 9.0699299888668e-06, 'momentum': 0.06790035819129137, 'shuffle': True, 'weight_decay': 4.374143252832622e-05}
18 99.56 -14.848264453125 2907.2203240394592 {'batch_size': 8, 'epochs': 26, 'learning_rate': 0.024717660030554523, 'momentum': 0.18184022537153444, 'shuffle': True, 'weight_decay': 6.544698122470402e-06}
19 99.65 -11.64897958984375 1129.79633975029 {'batch_size': 32, 'epochs': 21, 'learning_rate': 0.0037717848570114655, 'momentum': 0.25787766524737, 'shuffle': True, 'weight_decay': 2.1478218690054977e-06}
20 99.48 -19.17542265625 5039.168086528778 {'batch_size': 8, 'epochs': 45, 'learning_rate': 0.05916452283696263, 'momentum': 0.9522779495703986, 'shuffle': True, 'weight_decay': 1.391740746645364e-06}
21 98.21 -8.2624861328125 1304.8840420246124 {'batch_size': 512, 'epochs': 40, 'learning_rate': 0.0025073265367105226, 'momentum': 0.03614767656934437, 'shuffle': False, 'weight_decay': 6.663325994391824e-06}
22 99.4 -14.5933642578125 1937.842431306839 {'batch_size': 32, 'epochs': 36, 'learning_rate': 0.0044929670531509746, 'momentum': 0.6374791552065461, 'shuffle': False, 'weight_decay': 4.83778111047362e-06}
23 99.09 -8.223893798828126 3808.3485724925995 {'batch_size': 8, 'epochs': 34, 'learning_rate': 8.412836476456731e-06, 'momentum': 0.7816795057236838, 'shuffle': False, 'weight_decay': 7.659165484895036e-06}
